districts,district total:,"Less than 10,000","10,000 to 14,999","15,000 to 19,999","20,000 to 24,999","25,000 to 29,999","30,000 to 34,999","35,000 to 39,999","40,000 to 44,999","45,000 to 49,999","50,000 to 59,999","60,000 to 74,999","75,000 to 99,999","100,000 to 124,999","125,000 to 149,999","150,000 to 199,999","200,000 or more"
"District 3, DeKalb County, TN",1261,167,140,77,67,29,51,26,112,41,127,153,99,75,27,66,4
"District 6, Union County, TN",1258,50,81,79,45,101,47,115,22,52,101,309,193,48,0,0,15
"District 4, Warren County, TN",1248,93,122,205,103,48,25,78,52,64,147,115,141,39,6,0,10
"District 5, Marshall County, TN",1248,84,47,45,115,99,70,91,102,33,88,142,109,111,36,68,8
"District 5, Scott County, TN",1243,69,71,107,147,61,107,67,61,60,64,177,79,89,42,39,3
"District 3, Fentress County, TN",1234,48,52,97,139,37,116,50,102,124,76,125,198,44,26,0,0
"District 4, Marshall County, TN",1233,117,53,30,21,56,44,48,61,37,166,175,178,121,54,69,3
"District 12, Warren County, TN",1228,53,154,97,68,79,69,93,81,88,69,160,49,38,91,16,23
"District 12, Coffee County, TN",1224,58,0,108,38,144,85,43,92,70,178,154,151,98,0,0,5
"District 3, Hardin County, TN",1222,63,102,39,182,112,57,21,35,48,89,102,95,136,67,25,49
"District 19, Coffee County, TN",1212,98,172,91,100,151,84,46,87,19,85,94,45,63,54,0,23
"District 1, Chester County, TN",1209,12,29,118,58,21,197,84,73,40,154,109,114,110,62,18,10
"District 5, Franklin County, TN",1209,71,62,57,30,82,64,36,75,25,67,148,153,95,33,92,119
"District 7, Marshall County, TN",1206,167,47,15,117,118,55,58,111,8,106,144,86,82,26,16,50
"District 5, Hickman County, TN",1199,91,75,82,33,63,99,78,68,44,46,109,132,146,108,14,11
"District 3, Marshall County, TN",1188,35,53,29,26,73,83,126,43,86,66,183,180,76,85,25,19
"District 2, Gibson County, TN",1186,47,162,36,12,148,71,124,20,67,178,173,65,11,50,0,22
"District 4, DeKalb County, TN",1186,7,25,62,114,96,39,101,74,34,103,110,153,98,57,61,52
"District 5, Morgan County, TN",1184,133,104,76,52,69,136,17,77,38,77,55,163,108,17,55,7
"District 4, McNairy County, TN",1177,74,108,154,82,96,67,68,58,20,26,88,102,156,37,26,15
"District 1, Cannon County, TN",1172,115,65,14,79,61,55,19,44,19,132,166,182,67,65,72,17
"District 7, Warren County, TN",1171,137,62,24,90,119,81,98,51,71,81,104,126,91,18,0,18
"District 7, Hardeman County, TN",1169,60,79,60,83,59,91,64,110,90,145,68,106,66,61,17,10
"District 3, Coffee County, TN",1168,14,79,50,23,15,23,83,31,117,92,146,139,179,37,65,75
"District 5, Benton County, TN",1167,79,87,142,136,126,86,50,79,26,50,64,101,24,10,29,78
"District 4, Lauderdale County, TN",1157,242,96,65,116,67,58,34,13,75,76,100,111,72,16,11,5
"District 2, Carroll County, TN",1154,163,41,74,53,35,64,53,103,32,65,142,185,80,21,7,36
"District 6, Benton County, TN",1154,166,84,78,93,51,33,85,89,74,31,134,128,53,5,47,3
"District 4, Claiborne County, TN",1153,113,85,135,42,122,60,49,101,13,85,162,107,30,27,7,15
"District 3, Smith County, TN",1147,42,30,52,84,57,106,82,35,138,32,112,102,88,47,30,110
"District 5, Coffee County, TN",1142,47,54,33,92,23,93,66,73,114,128,167,132,70,28,12,10
"District 8, Carroll County, TN",1141,169,87,129,102,145,71,46,83,10,31,99,38,71,31,8,21
"District 8, Hardin County, TN",1141,86,15,61,129,99,41,46,43,27,16,98,133,78,103,52,114
"District 5, Cannon County, TN",1139,126,92,67,78,53,63,109,51,71,98,86,132,10,85,13,5
"District 2, Benton County, TN",1137,96,73,72,142,45,41,133,68,15,56,89,152,42,31,45,37
"District 4, Benton County, TN",1135,112,150,121,68,46,22,38,8,38,57,287,99,12,22,25,30
"District 3, Humphreys County, TN",1134,94,117,47,140,151,50,84,30,81,25,70,128,74,30,13,0
"District 4, Hardin County, TN",1128,131,110,35,82,163,48,31,89,34,39,104,105,36,52,34,35
"District 2, Lake County, TN",1122,221,155,52,88,66,38,5,69,34,62,113,132,59,6,14,8
"District 1, DeKalb County, TN",1119,180,35,81,32,11,69,53,108,55,90,95,152,68,70,0,20
"District 1, Benton County, TN",1118,122,64,94,52,84,68,58,101,34,120,136,98,32,36,14,5
"District 11, Warren County, TN",1115,68,22,63,86,19,9,170,49,54,124,72,164,62,49,33,71
"District 15, Coffee County, TN",1107,8,26,148,62,16,26,52,101,39,59,80,210,84,55,88,53
"District 7, Humphreys County, TN",1101,128,62,36,27,3,9,102,34,143,114,151,151,85,34,16,6
"District 1, Hardin County, TN",1099,102,37,62,87,9,63,116,46,63,77,107,128,70,132,0,0
"District 18, Coffee County, TN",1099,17,83,83,60,88,80,48,15,88,78,99,151,59,29,20,101
"District 3, Union County, TN",1095,81,69,18,144,108,56,104,34,32,41,148,78,61,45,52,24
"District 14, Coffee County, TN",1090,95,36,62,43,23,9,36,12,74,149,177,88,148,112,18,8
"District 2, Chester County, TN",1089,57,78,30,40,67,42,91,15,0,168,185,85,107,71,32,21
"District 6, DeKalb County, TN",1084,63,103,50,47,65,20,84,19,75,123,111,167,86,52,19,0
"District 4, Macon County, TN",1074,26,114,54,16,154,99,126,13,13,11,77,141,121,17,92,0
"District 3, Cannon County, TN",1073,48,52,40,23,34,40,15,25,23,153,134,174,99,45,86,82
"District 2, Hardeman County, TN",1071,107,82,77,26,32,103,45,116,82,142,120,67,46,26,0,0
"District 2, Scott County, TN",1059,100,38,25,110,11,71,37,29,40,199,210,90,71,15,13,0
"District 4, Cannon County, TN",1059,48,0,53,66,120,44,32,36,110,98,72,281,27,41,17,14
"District 6, Rhea County, TN",1058,165,54,109,61,182,27,43,60,50,86,49,95,0,22,26,29
"District 5, DeKalb County, TN",1057,155,38,49,94,55,165,22,14,15,43,123,87,65,36,51,45
"District 3, Benton County, TN",1051,122,133,95,56,67,68,51,64,90,74,88,63,49,15,12,4
"District 3, Scott County, TN",1051,128,97,121,108,46,71,87,27,76,89,91,41,32,11,26,0
"District 3, Lake County, TN",1049,135,61,105,73,26,52,67,45,20,109,79,162,38,4,15,58
"District 2, DeKalb County, TN",1047,52,71,58,97,47,51,17,56,82,72,69,101,142,72,37,23
"District 2, Cannon County, TN",1045,120,68,91,78,19,21,28,25,35,103,102,143,76,81,30,25
"District 9, Macon County, TN",1040,40,115,98,42,210,205,46,21,22,112,29,41,0,17,27,15
"District 10, Coffee County, TN",1039,146,28,56,60,72,46,103,80,18,106,54,72,52,91,36,19
"District 9, Lawrence County, TN",1029,115,84,39,72,65,101,36,15,65,22,107,94,116,29,19,50
"District 5, Rhea County, TN",1028,185,74,68,156,60,23,101,14,27,20,52,209,39,0,0,0
"District 5, Wayne County, TN",1028,51,120,19,171,25,90,12,86,35,79,79,122,61,32,20,26
"District 10, Hardin County, TN",1018,52,49,125,52,75,84,76,74,39,83,89,144,9,55,0,12
"District 2, Humphreys County, TN",1018,63,72,57,41,19,38,116,95,67,53,65,61,100,54,63,54
"District 3, Chester County, TN",1017,47,41,57,27,36,28,35,116,0,117,73,280,11,35,114,0
"District 6, Coffee County, TN",1017,82,14,57,57,51,60,26,105,38,70,95,166,53,38,82,23
"District 16, Coffee County, TN",1013,16,0,5,35,53,69,41,26,49,135,57,124,169,51,147,36
"District 4, Carroll County, TN",1011,63,93,63,79,76,82,14,49,100,92,89,97,69,29,8,8
"District 5, Chester County, TN",1010,114,113,73,16,26,52,10,78,35,112,131,94,71,15,63,7
"District 1, Smith County, TN",1005,122,78,52,42,62,41,40,21,41,142,105,101,53,40,38,27
"District 4, Coffee County, TN",1001,79,29,79,44,61,0,32,43,69,112,112,253,40,21,0,27
"District 4, Hickman County, TN",1000,65,15,98,55,39,15,66,172,49,109,74,69,47,79,48,0
"District 5, Smith County, TN",999,39,43,34,35,53,89,70,19,38,98,91,175,64,84,43,24
"District 9, Coffee County, TN",998,18,30,38,24,58,83,177,64,28,81,103,101,117,49,18,9
"District 17, Lawrence County, TN",997,183,228,69,89,30,54,27,99,50,71,43,0,7,0,14,33
"District 1, Hickman County, TN",996,122,181,29,37,84,48,97,37,24,128,69,64,10,25,25,16
"District 13, Coffee County, TN",981,59,14,17,0,50,33,29,45,65,16,210,126,230,27,43,17
"District 18, Lawrence County, TN",980,51,64,121,82,25,34,91,64,0,94,128,122,27,36,32,9
"District 6, Carroll County, TN",978,62,50,108,64,42,73,38,67,54,94,100,104,61,21,34,6
"District 17, Coffee County, TN",976,171,129,52,57,74,130,124,14,58,47,60,44,8,0,0,8
"District 5, Union County, TN",972,123,132,0,7,63,52,9,58,55,115,129,44,78,4,24,79
"District 1, Lawrence County, TN",969,92,69,97,54,35,53,49,43,37,71,74,142,107,16,16,14
"District 4, Wayne County, TN",969,138,73,74,73,44,64,83,36,40,57,86,115,37,27,22,0
"District 3, Macon County, TN",968,52,86,36,11,64,93,60,41,0,47,113,251,25,27,30,32
"District 2, Macon County, TN",967,68,122,43,37,133,31,63,34,88,41,64,104,43,68,28,0
"District 4, Johnson County, TN",965,88,22,45,42,79,39,134,77,23,35,76,171,64,11,47,12
"District 8, Lawrence County, TN",962,62,24,38,24,49,37,45,33,80,168,46,166,32,38,19,101
"District 1, Meigs County, TN",960,54,80,51,39,37,59,29,48,37,140,74,112,74,62,49,15
"District 2, Meigs County, TN",960,43,81,65,65,44,41,42,24,28,88,123,237,40,29,6,4
"District 4, Chester County, TN",956,91,50,35,42,32,60,21,34,82,50,79,136,74,37,127,6
"District 13, Lawrence County, TN",952,16,44,116,93,60,82,44,27,71,105,48,138,53,40,12,3
"District 3, Bledsoe County, TN",951,77,82,66,59,36,63,76,52,17,18,142,89,80,0,49,45
"District 7, DeKalb County, TN",950,103,5,67,144,27,104,33,92,47,80,95,46,68,0,0,39
"District 1, Humphreys County, TN",948,40,29,46,95,66,78,43,148,37,83,78,114,27,20,24,20
"District 6, Hardin County, TN",948,57,0,43,55,52,46,77,88,48,70,95,158,84,14,25,36
"District 6, Smith County, TN",947,88,50,45,96,34,71,96,57,50,101,49,109,54,18,29,0
"District 9, Hardin County, TN",944,243,122,60,37,33,17,121,47,17,79,111,25,0,7,25,0
"District 7, Coffee County, TN",943,0,51,68,36,9,0,19,114,99,66,92,195,104,37,6,47
"District 1, Wayne County, TN",937,114,60,63,58,41,48,38,14,26,97,105,120,54,16,53,30
"District 16, Lawrence County, TN",937,156,138,50,59,64,40,96,45,58,63,41,66,49,12,0,0
"District 4, Smith County, TN",934,51,69,64,15,69,16,73,49,124,24,34,53,132,26,45,90
"District 7, Lawrence County, TN",933,27,38,29,30,65,114,80,69,44,53,73,88,127,53,15,28
"District 4, Lawrence County, TN",932,35,32,88,52,32,19,77,97,43,175,105,83,18,24,37,15
"District 15, Gibson County, TN",930,15,84,39,15,47,159,45,40,0,39,109,78,119,70,55,16
"District 5, Hardin County, TN",915,106,17,47,90,114,66,74,19,13,130,97,93,11,22,16,0
"District 7, Carroll County, TN",910,11,33,22,62,25,39,67,81,104,74,123,82,130,28,29,0
"District 3, Wayne County, TN",907,60,42,44,81,80,75,27,41,38,84,206,85,18,8,0,18
"District 5, Macon County, TN",905,62,33,63,79,14,61,61,40,27,104,93,107,108,28,19,6
"District 2, Smith County, TN",902,69,54,70,55,8,97,68,29,19,54,40,152,61,57,25,44
"District 1, Macon County, TN",899,141,73,107,126,75,30,91,31,22,24,26,91,54,0,0,8
"District 2, Lawrence County, TN",896,28,56,127,74,41,54,41,64,29,66,63,153,39,35,17,9
"District 5, Lawrence County, TN",895,73,53,72,41,81,26,16,55,16,99,78,123,67,68,19,8
"District 4, Stewart County, TN",894,38,36,51,63,19,62,32,58,36,43,275,111,34,27,9,0
"District 7, Smith County, TN",888,64,64,66,71,53,54,10,75,43,47,57,118,62,47,51,6
"District 4, Meigs County, TN",883,57,75,76,43,37,65,72,29,16,97,116,56,57,35,37,15
"District 6, Weakley County, TN",882,165,92,104,116,52,59,31,14,5,46,81,40,6,40,9,22
"District 4, Bledsoe County, TN",881,114,105,107,49,51,72,51,36,8,35,72,83,23,46,5,24
"District 7, Hardin County, TN",880,28,61,90,45,56,78,42,17,43,201,77,57,18,39,12,16
"District 3, Carroll County, TN",877,94,79,61,84,49,49,36,31,34,57,101,70,103,19,2,8
"District 4, Union County, TN",876,49,61,33,34,11,74,80,68,13,126,171,26,16,27,80,7
"District 10, Macon County, TN",875,14,117,176,33,69,98,103,43,0,20,87,53,22,0,33,7
"District 7, Johnson County, TN",873,160,119,56,51,108,35,45,23,4,36,98,70,38,18,4,8
"District 4, Humphreys County, TN",869,61,38,27,17,48,39,23,53,21,108,83,240,46,28,11,26
"District 7, Macon County, TN",866,69,88,59,50,90,85,68,71,6,11,104,142,12,0,11,0
"District 3, Jackson County, TN",861,89,113,86,11,64,51,54,31,33,36,40,161,27,13,30,22
"District 6, Wayne County, TN",860,139,94,12,48,33,71,17,120,7,55,70,79,51,30,34,0
"District 5, Meigs County, TN",858,93,67,6,14,22,38,54,37,91,37,103,160,52,33,24,27
"District 5, Humphreys County, TN",850,104,19,44,65,26,44,38,41,89,129,60,59,75,27,22,8
"District 10, Lawrence County, TN",844,32,55,103,38,0,32,0,77,50,123,121,69,76,48,9,11
"District 6, Humphreys County, TN",843,59,74,37,108,45,38,41,49,12,41,70,136,82,30,6,15
"District 2, Hardin County, TN",842,86,109,35,94,69,16,78,32,38,29,49,164,12,0,12,19
"District 14, Gibson County, TN",838,42,165,11,111,62,89,0,68,0,26,36,51,165,12,0,0
"District 7, Union County, TN",838,36,45,108,50,53,77,42,73,26,106,62,78,38,20,10,14
"District 11, Coffee County, TN",837,78,58,21,46,81,58,11,48,50,88,113,80,23,0,64,18
"District 8, Haywood County, TN",829,46,79,81,91,62,14,35,19,47,67,121,64,71,28,4,0
"District 7, Gibson County, TN",827,82,54,100,42,17,57,71,67,30,72,121,71,0,0,0,43
"District 5, Bledsoe County, TN",823,62,93,22,25,49,14,24,38,33,88,110,144,70,9,13,29
"District 6, Macon County, TN",819,80,47,31,51,10,8,45,15,40,14,75,127,143,33,59,41
"District 6, Lawrence County, TN",817,94,27,26,40,81,67,35,39,10,68,76,132,84,30,8,0
"District 6, Gibson County, TN",807,98,100,30,59,67,30,60,14,45,68,63,67,18,43,10,35
"District 4, Jackson County, TN",805,12,61,71,95,37,88,12,75,20,69,38,111,24,0,47,45
"District 2, Jackson County, TN",796,102,64,107,77,49,87,47,15,39,35,53,86,21,5,7,2
"District 6, Stewart County, TN",796,72,43,67,40,13,57,48,45,20,96,72,94,33,36,54,6
"District 15, Lawrence County, TN",795,30,82,5,53,27,101,32,41,15,137,114,80,59,6,7,6
"District 7, Haywood County, TN",788,117,36,11,17,85,113,83,65,44,20,40,96,45,0,0,16
"District 8, Smith County, TN",781,46,46,64,30,41,24,60,50,12,67,96,161,23,35,19,7
"District 2, Union County, TN",780,67,70,48,64,94,13,41,15,61,21,77,96,5,63,26,19
"District 6, Chester County, TN",779,79,50,125,56,79,28,36,55,10,49,85,113,9,5,0,0
"District 2, Haywood County, TN",777,84,32,30,81,114,71,19,36,25,130,21,105,19,3,7,0
"District 11, Lawrence County, TN",775,59,7,63,35,73,53,14,96,65,89,56,70,69,9,17,0
"District 20, Coffee County, TN",770,33,13,118,62,27,40,91,70,13,74,33,68,87,0,41,0
"District 2, Bledsoe County, TN",769,123,14,25,41,10,71,63,13,58,71,79,126,7,0,54,14
"District 14, Lawrence County, TN",764,78,60,42,38,62,24,75,49,41,64,68,58,46,17,17,25
"District 2, Stewart County, TN",760,106,37,0,44,52,43,58,40,20,126,55,91,28,48,0,12
"District 7, Stewart County, TN",759,41,43,81,103,72,26,26,18,38,56,56,87,64,3,45,0
"District 8, Gibson County, TN",758,27,21,95,94,21,47,42,34,28,86,54,43,54,56,52,4
"District 1, Haywood County, TN",757,196,73,54,127,37,14,51,8,41,60,46,36,9,0,0,5
"District 8, Macon County, TN",757,0,17,36,39,12,41,19,12,0,75,203,156,85,17,31,14
"District 1, Bledsoe County, TN",755,71,52,28,99,71,46,8,26,47,45,88,91,59,18,6,0
"District 3, Clay County, TN",751,155,96,75,38,15,38,28,47,26,57,35,35,57,38,2,9
"District 3, Lawrence County, TN",746,23,43,21,36,126,64,23,56,42,97,80,68,36,21,10,0
"District 12, Lawrence County, TN",737,97,31,34,44,5,16,67,92,41,82,96,34,40,27,20,11
"District 4, Haywood County, TN",736,78,34,55,57,19,34,95,27,36,95,56,114,29,7,0,0
"District 3, Haywood County, TN",730,71,34,107,95,27,45,11,12,4,143,95,54,0,22,0,10
"District 12, Gibson County, TN",729,18,48,28,42,69,47,0,0,33,34,42,213,101,54,0,0
"District 7, Wayne County, TN",727,17,56,78,16,109,42,14,73,0,48,58,96,49,56,15,0
"District 3, Gibson County, TN",720,126,0,56,27,73,63,13,65,0,31,126,69,13,0,25,33
"District 4, Gibson County, TN",720,154,72,13,24,142,64,47,13,9,76,15,52,29,10,0,0
"District 5, Jackson County, TN",720,63,66,101,50,34,32,42,43,12,72,93,64,39,0,9,0
"District 8, Coffee County, TN",720,30,24,24,31,0,79,44,24,14,45,73,116,126,37,35,18
"District 17, Gibson County, TN",715,47,27,65,41,43,62,41,36,36,73,42,79,101,22,0,0
"District 6, Bledsoe County, TN",715,78,15,0,56,60,14,14,92,29,77,0,141,76,7,16,40
"District 1, Stewart County, TN",710,28,0,30,83,0,59,93,116,66,21,0,94,10,30,69,11
"District 5, Johnson County, TN",710,46,28,85,73,65,28,33,72,77,41,80,15,11,27,19,10
"District 10, Haywood County, TN",709,71,15,17,59,29,55,16,13,15,60,134,93,65,47,16,4
"District 5, Gibson County, TN",706,113,68,105,79,40,57,58,47,6,58,5,13,20,24,0,13
"District 6, Jackson County, TN",704,80,65,35,54,21,34,41,37,73,47,75,66,6,46,8,16
"District 7, Sequatchie County, TN",697,40,19,60,35,13,22,55,0,62,109,164,90,28,0,0,0
"District 18, Gibson County, TN",686,10,20,86,36,47,52,28,35,24,54,106,99,26,51,12,0
"District 1, Jackson County, TN",680,83,89,75,37,74,16,23,61,25,86,54,30,13,2,8,4
"District 9, Haywood County, TN",679,224,12,53,59,46,44,15,45,46,22,27,23,25,5,21,12
"District 5, Claiborne County, TN",677,108,100,55,34,72,35,32,17,41,34,21,48,40,22,8,10
"District 2, Coffee County, TN",668,76,58,67,49,76,15,75,45,12,35,45,63,40,12,0,0
"District 2, Sequatchie County, TN",666,40,4,42,75,37,29,0,44,21,79,46,141,46,28,26,8
"District 3, Moore County, TN",663,0,42,28,35,40,0,8,33,20,84,97,148,37,24,21,46
"District 6, Lewis County, TN",663,81,101,38,15,32,87,75,0,0,16,13,58,35,0,100,12
"District 6, Sequatchie County, TN",663,52,83,48,63,35,23,21,35,14,32,163,73,0,0,21,0
"District 3, Pickett County, TN",661,91,82,0,30,46,45,52,107,44,59,11,0,14,0,80,0
"District 6, Hardeman County, TN",655,90,39,36,75,7,45,51,16,28,24,84,105,27,8,9,11
"District 5, Lewis County, TN",652,18,45,70,38,79,7,19,54,16,87,106,103,4,0,0,6
"District 2, Decatur County, TN",647,41,54,64,50,27,47,30,55,4,56,101,60,25,32,0,1
"District 2, Johnson County, TN",644,37,29,73,37,13,83,0,53,0,23,94,123,47,0,32,0
"District 5, Stewart County, TN",641,32,46,63,59,26,36,35,50,37,24,58,75,44,17,3,36
"District 3, Sequatchie County, TN",633,89,18,75,52,36,30,73,62,17,23,47,75,36,0,0,0
"District 8, Hardeman County, TN",632,46,74,40,81,39,13,41,54,34,13,42,98,11,39,7,0
"District 1, Pickett County, TN",625,66,111,39,26,74,61,18,15,11,24,58,77,29,13,2,1
"District 3, Stewart County, TN",618,0,13,0,35,28,40,135,15,39,69,44,64,63,33,40,0
"District 8, Sequatchie County, TN",612,22,23,68,14,29,43,12,0,20,40,43,148,100,37,8,5
"District 4, Clay County, TN",611,71,16,72,35,44,21,57,12,48,89,35,58,29,0,15,9
"District 6, Haywood County, TN",610,8,49,18,15,48,79,39,13,27,28,124,90,19,17,21,15
"District 1, Sequatchie County, TN",608,0,24,44,12,62,4,78,24,0,42,31,143,52,31,43,18
"District 9, Sequatchie County, TN",606,54,59,72,33,32,40,47,8,6,28,43,116,25,21,0,22
"District 5, Perry County, TN",604,124,35,58,37,4,29,50,12,11,120,24,79,5,10,0,6
"District 13, Gibson County, TN",603,72,133,64,28,29,0,17,93,32,9,69,45,12,0,0,0
"District 3, Perry County, TN",598,98,41,32,19,45,29,0,34,7,63,22,100,39,0,0,69
"District 6, Morgan County, TN",594,41,17,42,46,0,30,39,29,49,130,23,95,13,40,0,0
"District 6, Johnson County, TN",576,72,73,53,28,36,30,51,42,25,0,47,66,22,19,8,4
"District 1, Clay County, TN",574,13,23,100,67,52,14,30,28,13,57,92,78,0,0,7,0
"District 6, Perry County, TN",573,63,32,73,13,53,40,16,44,43,37,56,41,11,11,5,35
"District 4, Moore County, TN",571,59,11,0,61,72,21,20,32,10,49,109,28,48,13,32,6
"District 5, Haywood County, TN",566,24,21,20,13,41,21,12,44,17,110,73,82,65,0,0,23
"District 4, Crockett County, TN",564,36,46,38,81,71,40,18,0,0,21,51,80,42,10,7,23
"District 2, Clay County, TN",554,44,85,55,21,63,0,0,69,7,14,57,78,32,29,0,0
"District 5, Sequatchie County, TN",554,14,39,34,47,11,14,21,60,13,15,38,40,74,113,21,0
"District 4, Van Buren County, TN",553,44,0,66,30,44,65,13,17,16,96,51,37,32,12,30,0
"District 4, Pickett County, TN",552,0,48,22,54,0,43,52,38,65,0,70,59,32,27,42,0
"District 5, Clay County, TN",549,117,52,58,16,42,57,0,10,32,52,78,16,19,0,0,0
"District 6, Crockett County, TN",544,61,63,28,32,30,25,23,11,29,54,27,64,52,16,20,9
"District 9, Gibson County, TN",538,20,23,78,34,19,54,24,74,14,60,38,37,19,44,0,0
"District 4, Lewis County, TN",533,108,0,32,51,27,69,25,16,35,6,77,21,32,16,0,18
"District 2, Perry County, TN",529,90,28,18,22,84,45,10,14,31,8,60,88,10,6,0,15
"District 5, Moore County, TN",527,9,44,0,28,0,19,47,22,64,30,46,50,67,49,27,25
"District 2, Lewis County, TN",525,37,0,98,48,15,19,12,40,71,30,34,72,15,12,22,0
"District 8, Decatur County, TN",519,54,108,83,29,23,4,0,0,76,5,37,45,29,0,26,0
"District 3, Decatur County, TN",516,63,73,20,35,8,31,10,23,23,33,24,54,56,33,21,9
"District 7, Houston County, TN",516,91,0,21,47,31,0,12,31,21,80,46,86,4,6,18,22
"District 9, Decatur County, TN",513,17,33,40,51,46,38,27,5,10,41,25,122,27,4,12,15
"District 7, Hancock County, TN",506,77,38,55,51,27,12,3,29,0,21,76,77,19,0,11,10
"District 7, Lewis County, TN",501,0,23,0,34,117,0,39,12,13,14,123,77,32,5,0,12
"District 11, Crockett County, TN",499,4,35,6,0,29,45,37,50,13,40,54,100,43,10,14,19
"District 8, Lewis County, TN",490,0,44,42,48,20,36,66,26,0,41,41,30,96,0,0,0
"District 4, Sequatchie County, TN",489,0,31,66,72,35,56,0,0,29,87,36,61,0,0,16,0
"District 6, Hancock County, TN",488,114,75,16,23,52,8,7,41,17,23,32,47,14,9,0,10
"District 4, Hardeman County, TN",484,13,0,36,54,40,26,47,41,10,13,59,85,48,2,10,0
"District 7, Decatur County, TN",484,47,44,57,34,46,17,37,35,6,23,50,47,16,4,21,0
"District 1, Decatur County, TN",482,20,31,15,32,25,13,34,30,21,78,39,62,32,28,9,13
"District 1, Lewis County, TN",479,42,7,42,52,31,26,38,84,24,14,35,63,5,7,0,9
"District 3, Houston County, TN",475,50,46,8,27,42,21,40,36,52,27,36,46,13,27,4,0
"District 2, Moore County, TN",473,19,8,97,5,29,5,8,0,40,27,47,62,49,31,40,6
"District 3, Van Buren County, TN",472,45,6,35,46,58,34,9,27,0,62,36,68,32,5,0,9
"District 4, Decatur County, TN",471,40,32,21,14,12,41,11,45,40,38,64,53,55,0,0,5
"District 7, Trousdale County, TN",464,55,14,40,52,66,22,39,20,0,0,25,87,34,0,10,0
"District 2, Crockett County, TN",456,67,29,32,33,20,18,22,16,23,55,57,41,14,0,18,11
"District 3, Crockett County, TN",452,9,26,13,36,33,20,55,45,10,37,54,41,55,3,4,11
"District 9, Crockett County, TN",452,23,11,15,38,11,44,7,22,28,25,53,82,53,27,13,0
"District 8, Crockett County, TN",450,15,33,24,7,36,50,21,13,0,66,55,47,36,19,19,9
"District 1, Hancock County, TN",448,46,20,47,49,57,22,19,39,6,38,0,33,6,18,11,37
"District 10, Crockett County, TN",447,72,15,36,25,39,28,22,24,0,40,34,38,61,12,1,0
"District 2, Pickett County, TN",443,19,25,59,18,9,60,11,3,35,41,63,7,58,9,14,12
"District 5, Decatur County, TN",443,34,29,26,20,42,38,21,47,8,38,75,44,13,0,0,8
"District 3, Lewis County, TN",441,11,25,15,0,72,54,26,17,14,33,70,55,25,24,0,0
"District 2, Houston County, TN",440,49,26,54,13,26,22,28,32,22,40,60,33,21,11,3,0
"District 7, Crockett County, TN",434,41,25,33,24,43,11,47,25,0,27,85,48,8,6,5,6
"District 9, Lewis County, TN",431,35,140,16,36,69,27,14,0,0,19,28,16,0,31,0,0
"District 4, Houston County, TN",425,39,42,20,26,22,21,8,71,12,32,12,36,40,30,14,0
"District 1, Crockett County, TN",416,25,53,17,31,37,2,20,11,16,26,52,54,37,10,23,2
"District 5, Lauderdale County, TN",411,47,9,33,16,5,12,36,56,5,32,66,61,33,0,0,0
"District 3, Hardeman County, TN",408,30,34,22,46,32,64,24,4,12,26,16,54,37,0,7,0
"District 1, Houston County, TN",402,99,35,30,12,47,32,18,11,18,30,19,0,21,13,8,9
"District 5, Crockett County, TN",398,36,28,25,35,26,30,38,5,19,19,50,10,43,15,9,10
"District 2, Van Buren County, TN",389,7,7,25,23,0,67,9,5,11,7,53,101,45,9,0,20
"District 5, Hancock County, TN",388,74,50,11,81,34,15,0,14,6,8,27,5,9,38,0,16
"District 1, Perry County, TN",386,34,5,58,39,43,11,7,18,17,43,23,17,44,13,0,14
"District 4, Perry County, TN",383,43,27,9,0,22,17,0,40,23,78,37,22,7,48,0,10
"District 12, Crockett County, TN",379,22,14,15,16,12,9,34,58,29,29,61,39,17,10,2,12
"District 1, Van Buren County, TN",377,34,45,18,34,4,20,36,15,31,39,28,40,19,8,6,0
"District 6, Decatur County, TN",365,21,60,4,61,41,16,0,16,33,9,46,24,17,0,4,13
"District 1, Moore County, TN",358,44,10,22,11,7,42,0,13,19,35,57,19,25,26,21,7
"District 5, Trousdale County, TN",353,0,17,9,12,12,0,0,20,19,22,35,108,87,0,0,12
"District 5, Van Buren County, TN",350,31,36,39,42,5,20,33,12,13,61,26,29,0,3,0,0
"District 6, Houston County, TN",342,6,17,42,30,6,23,10,9,28,20,54,46,26,0,25,0
"District 2, Trousdale County, TN",340,39,0,68,23,0,0,0,12,0,67,44,66,12,0,9,0
"District 2, Wayne County, TN",336,31,21,29,26,21,12,19,17,29,31,13,39,39,5,0,4
"District 3, Hancock County, TN",330,49,17,36,13,17,5,35,15,20,15,6,51,36,15,0,0
"District 3, Trousdale County, TN",317,13,0,23,43,0,53,15,0,0,44,31,50,14,18,13,0
"District 2, Hancock County, TN",312,20,19,35,22,33,23,12,13,22,37,22,28,26,0,0,0
"District 1, Trousdale County, TN",309,4,12,9,5,0,19,15,21,5,82,34,26,41,27,0,9
"District 8, Trousdale County, TN",307,0,14,15,27,0,57,0,69,0,13,21,54,24,0,0,13
"District 10, Trousdale County, TN",296,14,51,33,0,0,0,41,18,0,16,2,23,27,55,16,0
"District 9, Claiborne County, TN",283,37,19,23,12,38,16,9,29,12,29,28,8,0,4,16,3
"District 5, Houston County, TN",278,19,15,0,34,10,8,0,0,6,66,46,36,7,0,0,31
